South Norwood Ward,	51.3932270786,	-0.0901718937035,	51.4174355896,	-0.0631134270984
Addiscombe Ward,	51.3748056014,	-0.0926668591397,	51.3885100224,	-0.0709180838125
Darwin Ward,	51.2893550642,	-0.00298502214391,	51.3577986472,	0.0992569102957
Hayes and Coney Hall Ward,	51.3455219558,	-0.0198116931623,	51.3935082462,	0.0353837348705
Bromley Common and Keston Ward,	51.347639252,	0.0191995290282,	51.3963568144,	0.0659193517526
Chelsfield and Pratts Bottom Ward,	51.3202350957,	0.07817055986,	51.3719942378,	0.148321009724
Biggin Hill Ward,	51.2916853036,	0.0021817593065,	51.3352050543,	0.0444415527379
West Wickham Ward,	51.3636326165,	-0.0268218720361,	51.3924155934,	0.00395045998244
Clock House Ward,	51.3977180444,	-0.0685973526626,	51.4155450391,	-0.0288574532528
Kelsey and Eden Park Ward,	51.3768852689,	-0.0535099327405,	51.4076979223,	-0.00920240425909
Farnborough and Crofton Ward,	51.3494297139,	0.0440932598688,	51.3812220968,	0.0904696092962
Shortlands Ward,	51.3875153763,	-0.0180694646803,	51.4062708357,	0.0154860852053
Bromley Town Ward,	51.3918606366,	-0.00769202572567,	51.4185580917,	0.0388517416305
Bickley Ward,	51.3891864024,	0.0260095471589,	51.4162485912,	0.0667443405025
Petts Wood and Knoll Ward,	51.3722172488,	0.0581891034781,	51.4045473304,	0.103285982225
Crystal Palace Ward,	51.4038408576,	-0.0811119772033,	51.4263031598,	-0.0564149938987
Penge and Cator Ward,	51.406314066,	-0.0660172047617,	51.4251010498,	-0.0333735945642
Copers Cope Ward,	51.3991532533,	-0.0353235042123,	51.4257071777,	0.00173777452452
Plaistow and Sundridge Ward,	51.4063130603,	0.00349342262615,	51.428989343,	0.0458521066993
Chislehurst Ward,	51.3947212359,	0.0343921632241,	51.4319907983,	0.104475652227
Mottingham and Chislehurst North Ward,	51.4204748889,	0.0247628153632,	51.4443170735,	0.0583193533705
Orpington Ward,	51.360388904,	0.0879782116673,	51.3833233667,	0.128733879769
Cray Valley West Ward,	51.3838994066,	0.0872686911858,	51.4152201828,	0.118855116091
Cray Valley East Ward,	51.3670140012,	0.0904673761745,	51.414974201,	0.162357994392
Bedfont Ward,	51.43810707,	-0.46150226755,	51.4665558637,	-0.418805007496
Hanworth Ward,	51.4207392714,	-0.418605077483,	51.4457391281,	-0.366850817953
Cranford Ward,	51.4590059378,	-0.416867240916,	51.4920980977,	-0.392637786127
Syon Ward,	51.4707091548,	-0.33827940009,	51.4899602756,	-0.297389536508
Heston West Ward,	51.4751457534,	-0.411950964483,	51.5003150556,	-0.380634627251
Heston East Ward,	51.471171778,	-0.388648344987,	51.4966047247,	-0.352832104933
Osterley and Spring Grove Ward,	51.4721841681,	-0.368400136688,	51.4991189676,	-0.314447230358
Brentford Ward,	51.4844206959,	-0.331260850321,	51.5015905558,	-0.282010517283
Chiswick Homefields Ward,	51.4708246366,	-0.269923517057,	51.5014053024,	-0.243443028653
Feltham West Ward,	51.4287958973,	-0.447737888222,	51.4512958953,	-0.409434104215
Hanworth Park Ward,	51.4302232787,	-0.423691308479,	51.4512639088,	-0.384167403199
Feltham North Ward,	51.4476661635,	-0.427435316431,	51.4698818106,	-0.390369646337
Hounslow Heath Ward,	51.4491375475,	-0.401404943654,	51.4680097982,	-0.362654651605
Hounslow West Ward,	51.4613072697,	-0.395435189016,	51.4748577418,	-0.366082384604
Heston Central Ward,	51.470371409,	-0.393954139436,	51.4889869296,	-0.370888669335
Hounslow South Ward,	51.4567651132,	-0.369591501113,	51.4740773853,	-0.337639711482
Isleworth Ward,	51.4546310146,	-0.34172386435,	51.474359031,	-0.31854137383
Hounslow Central Ward,	51.4616631461,	-0.367175470162,	51.4781181292,	-0.341940674596
Chiswick Riverside Ward,	51.4731013546,	-0.287572315454,	51.4914408813,	-0.255483821724
Turnham Green Ward,	51.486970951,	-0.285811124705,	51.5028505373,	-0.25267308805
Norwood Green Ward,	51.4904703894,	-0.382718462437,	51.5113089489,	-0.335446171476
Southall Green Ward,	51.4946371844,	-0.406905197705,	51.5059272986,	-0.376129070512
Northolt West End Ward,	51.5294143774,	-0.419621630373,	51.5480194127,	-0.374436944527
Dormers Wells Ward,	51.5094172097,	-0.380813234287,	51.5243588807,	-0.343841670146
Greenford Broadway Ward,	51.5211207905,	-0.380990565451,	51.5417528037,	-0.344429590896
North Greenford Ward,	51.5416496157,	-0.36224581095,	51.5596836542,	-0.307124162479
Northfield Ward,	51.4919698281,	-0.331066439013,	51.50530609,	-0.297553439089
East Acton Ward,	51.504358281,	-0.284099039326,	51.5353372591,	-0.245086769993
Southall Broadway Ward,	51.5029214393,	-0.403889370498,	51.5174957151,	-0.366171047127
Elthorne Ward,	51.4950298094,	-0.345320140114,	51.5135339287,	-0.319496544468
Walpole Ward,	51.4995422399,	-0.329204520003,	51.5127289789,	-0.305075427483
Lady Margaret Ward,	51.5151560969,	-0.383442547323,	51.5307579853,	-0.355961303079
Northolt Mandeville Ward,	51.5398282449,	-0.39508498792,	51.5572944641,	-0.354429982637
Hobbayne Ward,	51.5110110827,	-0.351708188367,	51.5283366922,	-0.329758953624
Cleveland Ward,	51.5120663143,	-0.335803680996,	51.5315922239,	-0.30834072233
Greenford Green Ward,	51.5309607274,	-0.365811673982,	51.5540763832,	-0.329668909908
Perivale Ward,	51.5273390884,	-0.345989484771,	51.5447239356,	-0.302731526407
Ealing Common Ward,	51.4983320986,	-0.30708330147,	51.5164842513,	-0.280517886928
Ealing Broadway Ward,	51.5104126062,	-0.323069760054,	51.5231832907,	-0.296489610298
